# Audit File Checksums — Phase 0 Baseline
# Generated: 2026-05-07T14:49:00+08:00
# Agent: orchestrator (GLM-5.1)
# Algorithm: SHA256

FILE	SHA256	SIZE_BYTES
00_EXECUTIVE_SUMMARY.md	8D991AF299266F301C2EB5CA184FF80BA72625D393AD42CBFCF033E227A4EE3B	5736
01_PROJECT_MAP.md	90565C1F71246D7B37F0CB5FE0C1243FA24149224EB706AF8C19C4AEFA7552D5	8842
02_RUN_BUILD_TEST_REPORT.md	E90C3316DFF32A606A82BEAACF3F65B8B2CBE4EC0E422D82EA87CA314D7C5224	4909
03_DEPENDENCY_ENVIRONMENT_AUDIT.md	E3D48AA965D38358E3B44F9CD65A8A235A82E423CDE4E1D7F13D0CFDACE3744B	6902
04_DATA_PIPELINE_AUDIT.md	A8430E79FD61B3B0172AFC4395E43217619E2417AD381BF0834D19C9BE033B39	7677
05_BACKEND_API_AUDIT.md	0DA73FE907BAC2E40597420AE26D165B72D2A760D8FFD477D219C7CEAAF21FDC	9155
06_FRONTEND_AUDIT.md	CD5B122C403332183FC4CD561D6E3297053120CF891C3507543F705FAEF6E76E	11055
07_ALGORITHM_MODEL_QUANT_MAPPING_AUDIT.md	0FBE08AC7A9FB735B3563D57C7834871A2C120D0B439CCCCADE409B05CF7127E	8830
08_SECURITY_PRIVACY_COMPLIANCE_AUDIT.md	7B708D924406C5582E8E8274C46D69E0532021E8FDE668C057EC132487671585	7515
09_TESTING_QA_AUDIT.md	A8027F649F808BE3924DF6BEBF3522CD02C5A6FC4AC089604BFBC368430C769F	6899
10_DEPLOYMENT_OBSERVABILITY_AUDIT.md	77E9A6D4D41FEF2A3019A456FD3EA2D32E8FE3B5213BB92E89C62847AD603864	7852
11_PRODUCT_BUSINESS_EXTENSION_AUDIT.md	4EAFD20EAE32BBFA65F5DBD2948E2716C496077E173898AEC61240637E4B65D3	7911
12_ISSUE_REGISTER.md	676E43C3B1746C850362DC90E6873F1225ABE4575EB8BEC6B25D37B3273F67C7	16607
13_OPEN_QUESTIONS.md	456FF1211175960CEE5E417D89553CC9425E7AC31D46A77C79DEAD61A1DFF19D	6192
14_HANDOFF_FOR_NEXT_AGENT.md	E6393C33D31CE7AC3A3B8358C1834002C428244E961D32C61A4F4E837AEB93DE	10522
